title	category	speaker	date	url
清华大学李水清教授讲座	工程科学前沿讲坛	李水清	2017-09-21	http://news.cqu.edu.cn/newsv2/show-24-346-1.html
新加坡国立大学吕力教授学术讲座	工程科学前沿讲坛	Prof. Li Lu	2017-09-20	http://news.cqu.edu.cn/newsv2/show-24-349-1.html
张月红教授作《何为学术诚信》专题报告		张月红	2017-09-19	http://news.cqu.edu.cn/newsv2/show-24-340-1.html
日本理化研究所同步辐射研究机构副首席专家Uesugi Kentaro讲座		Uesugi Kentaro	2017-09-19	http://news.cqu.edu.cn/newsv2/show-24-341-1.html
从强制阐释论到公共阐释论——什么是文学？	文字斋讲座	傅其林	2017-09-17	http://news.cqu.edu.cn/newsv2/show-24-343-1.html
谢亿民《基于结构性能的建筑设计与实现》的讲座	重大讲座	谢亿民	2017-09-15	http://news.cqu.edu.cn/newsv2/show-24-345-1.html
关于举行成果导向的评量理念与设计工作坊的通知	教师教学发展工作坊	李纹霞	2017-09-13	http://news.cqu.edu.cn/newsv2/show-24-344-1.html
诺贝尔和平奖获得者、加州大学伯克利分校Daniel M. Kammen教授学术报告	工程科学前沿讲坛	Prof. Daniel M. Kammen	2017-09-13	http://news.cqu.edu.cn/newsv2/show-24-342-1.html
热储能系统中的热－水－力过程	建工讲坛	缪幸圆研究员	2017-09-08	http://news.cqu.edu.cn/newsv2/show-24-337-1.html
现代（全）钢结构结构轻量化设计理念与装配式建筑	建工讲坛	王仕统教授	2017-09-07	http://news.cqu.edu.cn/newsv2/show-24-338-1.html
报告题目“三维土坡稳定性极限分析研究进展”		高玉峰 教授	2017-09-07	http://news.cqu.edu.cn/newsv2/show-24-339-1.html
美国北卡罗来纳州立大学江小宁教授讲座	工程科学前沿讲坛	江小宁	2017-08-11	http://news.cqu.edu.cn/newsv2/show-24-335-1.html
新加坡国立大学Praveen LINGA教授学术报告会	工程科学前沿讲坛	Praveen LINGA	2017-07-17	http://news.cqu.edu.cn/newsv2/show-24-334-1.html
工程科学前沿讲坛：加拿大麦吉尔大学Stephen Yue教授学术报告会	工程科学前沿讲坛	Prof. Stephen Yue	2017-07-15	http://news.cqu.edu.cn/newsv2/show-24-333-1.html
Analysis of spatial data with a nested correlation structure	重大讲座	王友乾(澳大利亚昆士兰科技大学)	2017-07-11	http://news.cqu.edu.cn/newsv2/show-24-327-1.html
The Expected Discounted Penalty Function: From Infinite Time To Finite Time		李栓明	2017-07-10	http://news.cqu.edu.cn/newsv2/show-24-329-1.html
Olfactory function and its Deficits in Neurodegenerative disease	重大讲座	Qing Yang	2017-07-06	http://news.cqu.edu.cn/newsv2/show-24-328-1.html
美国俄亥俄州立大学首席讲座教授郭培宣学术报告会	重大讲座	郭培宣教授	2017-07-03	http://news.cqu.edu.cn/newsv2/show-24-323-1.html
生物马达、病毒组装与纳米技术应用		郭培宣（美国俄亥俄州立大学首席讲座教授）	2017-07-03	http://news.cqu.edu.cn/newsv2/show-24-325-1.html
名家会客厅讲座第176期预告：美国俄亥俄州立大学首席讲座教授郭培宣先生学术报告会	名家会客厅	郭培宣教授	2017-07-03	http://news.cqu.edu.cn/newsv2/show-24-324-1.html
美国俄亥俄州立大学首席讲座教授郭培宣先生学术报告会	重大讲座	郭培宣教授	2017-07-03	http://news.cqu.edu.cn/newsv2/show-24-326-1.html
数学与统计学院将举办“函数空间与算子理论暑期班”		Jingbo Xia 等	2017-06-27	http://sci.cqu.edu.cn/NewsCenter.aspx?c=10.02&&a=AR201704105424
2017年重庆数学会议		陈晓漫 等	2017-06-24	http://sci.cqu.edu.cn/NewsCenter.aspx?c=10.02&&a=AR201704105424
中国工程院顾大钊院士学术报告会	工程科学前沿讲坛	顾大钊	2017-06-23	http://news.cqu.edu.cn/newsv2/show-24-322-1.html
中国二重集团副总工程师、国务院特殊津贴获得者陈晓慈学术讲座	工程科学前沿讲坛	陈晓慈	2017-06-23	http://news.cqu.edu.cn/newsv2/show-24-314-1.html
Charge Dynamics in Nanodielectrics	工程科学前沿讲坛	George Chen （英国南安普顿大学、教授、IET院士和IEEE高级会员）	2017-06-19	http://news.cqu.edu.cn/newsv2/show-24-320-1.html
